ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,QualScore,RecvdMean,RegTrndUpdt,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,prov_Rate_1000,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,ACO13,ACO14,ACO17,ACO18,ACO19,ACO20,ACO42,ACO40,ACO27,ACO28
A1001,"Palm Beach Accountable Care Organization",FL,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,80864,0.0757,0.02,72427998,72427998,"",54320998,1,1,100,0,0,1,12098,13044,956864945,884436947,"","",0.75,0.75,0,"Low Revenue",83980,11731,17307,11370,81423,11713,16704,11600,86154,12158,16628,11718,80878,10941,13860,10598,11182,1.012,1.096,1.081,1.156,1.009,1.029,1.059,1.14,1.019,1.041,1.075,1.15,1.01,1.052,1.078,1.147,517,4030,4874,71808,79093,454,3172,4035,71432,4986,34477,28630,12771,46817,34047,71224,3447,484,2558,29,3122,2514,2219,55,233,29,245,389,1657,5591,79,658,305,237,220,1,12,3,10,4,831,452,183,676,338,15065,6291,7776,985,13,35,0,0,0,0,0,0,466,691,319,112,0,^,^,^,^,^,^,^,^,^,^,~,~,0.91,91.19,90.12,94.87,86.08,87.15,90.08,93.93,42.86,6.83,92.03
A1006,"Hackensack Alliance ACO","NJ, NY",Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,33798,-0.005,0.0236,-1917725,0,"",0,1,1,97.81,0,0,0,11725,12649,383064284,384982008,"","",0.4,0.39,0,"Low Revenue",92527,12686,15676,11075,91754,12889,17254,11559,102859,12368,18318,11520,100849,12904,19170,10451,11784,1.01,1.047,0.987,1.062,1.03,1.006,1.019,1.042,1.009,0.975,1.014,1.016,1.027,1.022,1.021,0.995,256,2272,2275,30720,32669,223,1997,2124,28325,2937,14846,10600,5415,20130,13668,27545,2151,1162,942,15,1983,3119,2818,30,207,91,216,1235,2598,4053,106,533,218,248,232,1,8,6,13,4,801,454,197,641,250,11500,4011,6683,803,3,66,0,0,0,0,1,3,464,680,216,121,4,^,^,^,^,^,^,^,^,^,^,~,~,0.72,92.6,80,100,79.86,76,76.89,87.18,14.29,8.53,80.09
A1023,"Arizona Connected Care, LLC",AZ,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,10146,-0.0204,0.0299,-1816209,0,"",0,1,1,96.87,1,0,1,8924,9871,89013515,90829724,"","",0.4,0.39,0,"Low Revenue",72508,9399,7241,8224,66210,10009,8301,8524,72636,8954,7858,8594,73084,10405,8074,8423,9106,0.986,1.083,0.658,0.966,0.995,1.03,0.697,0.982,0.946,1.027,0.709,0.976,0.962,0.96,0.761,0.937,77,624,361,3479,9975,85,737,416,8737,821,5173,3174,978,5945,4201,8827,208,95,342,318,356,2692,2323,86,288,35,315,390,1858,3418,140,333,286,230,207,2,16,5,7,2,758,493,141,598,227,8887,2003,3815,1522,1547,31,0,39,0,0,0,0,245,86,196,8,0,^,^,^,^,^,^,^,^,^,^,~,~,0.73,68.93,71.63,75.27,67.49,58.22,72.09,76.85,2.44,21.68,62.94
A1026,"Atlantic ACO",NJ,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,37348,0.024,0.0233,9463053,9463053,"",4598452,1,1,97.19,0,0,1,10870,11736,394704803,385241750,"","",0.5,0.49,1,"High Revenue",100449,9883,17087,10273,105035,10904,16661,10632,104686,11234,18133,11029,90345,10483,18622,9938,10610,1.013,0.965,1.047,1.038,1.051,0.964,1.051,1.032,1.024,0.949,1.015,1.037,1.013,0.979,1.019,1.021,148,2786,1352,33514,36310,141,2648,1334,32187,2803,16243,12257,6045,21431,15917,32322,2003,751,448,6,1818,3006,2664,30,275,74,301,983,2094,3921,86,373,187,249,231,1,12,5,12,2,799,440,199,577,203,10727,3774,5761,1180,11,62,0,0,0,0,5,6,499,526,247,88,1,^,^,^,^,^,^,^,^,^,^,~,~,0.77,70.25,85,70.37,56.54,85.06,80.82,80.26,3.39,17.9,72.82
A1027,"Florida Physicians Trust, LLC",FL,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,13205,0.0401,0.0281,6802992,6802992,"",3327088,1,1,97.81,0,0,1,13185,13489,169667165,162864173,"","",0.5,0.49,1,"Low Revenue",80947,11826,20451,11076,93866,11775,20057,11261,91769,11847,19970,11329,94446,11597,22661,10746,12656,1.053,1.174,1.136,1.208,1.092,1.141,1.216,1.193,1.057,1.118,1.144,1.208,1.096,1.135,1.175,1.23,161,1364,914,10205,12868,161,1183,848,10676,1316,5598,4396,1895,7511,5694,10768,1308,214,393,6,516,3649,3269,106,274,35,564,936,1882,4646,122,867,359,363,342,3,13,4,22,7,804,668,300,780,252,12886,5615,5182,1911,178,77,0,0,1,0,0,0,119,6,64,19,0,^,^,^,^,^,^,^,^,^,^,~,~,1.09,90.36,81.36,93.44,75.84,83.86,81.18,87.21,20.41,17.35,83.6
A1032,"Premier ACO Physicians Network, LLC",CA,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,6730,0.0694,0.0345,6728881,6728881,"",2607236,1,1,96.87,1,0,1,14773,15171,96961726,90232845,"","",0.4,0.39,0,"Low Revenue",98954,13031,19388,11394,97393,12224,18668,11269,91157,13096,17816,11529,106301,12812,17558,10509,13747,1.003,1.185,1.118,1.172,1.022,1.18,1.163,1.13,1.013,1.228,1.104,1.14,1.071,1.136,1.055,1.092,116,604,941,4559,6564,130,591,1063,4780,682,2949,2146,953,3797,2933,4616,636,492,455,8,523,4106,3516,299,347,99,617,1467,2238,4651,127,972,293,288,260,7,13,8,14,4,772,486,217,456,214,10810,4154,5956,653,47,65,0,0,0,0,0,0,123,186,62,28,0,^,^,^,^,^,^,^,^,^,^,~,~,0.61,57.71,54.39,75,46.37,67.85,73.32,74.96,2.33,19.31,71.97
A1033,"Advocate Physician Partners Accountable Care, Inc.",IL,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,113033,0.064,0,77622055,77622055,"",37595221,1,1,96.87,1,0,1,11011,11827,1213573039,1135950984,"","",0.5,0.48,1,"High Revenue",89520,10093,18378,9822,89064,10385,17125,10137,93808,10916,17658,10451,86739,9798,17002,9301,10307,1.009,0.986,1.035,1.049,1.03,0.978,1.035,1.031,1.042,0.985,1.04,1.034,1.017,0.993,1.041,1.034,805,9989,6228,92260,110216,728,8784,6497,94206,9496,52404,35767,15366,65134,47899,91018,12310,2578,2261,46,4820,2944,2633,63,240,47,355,766,2056,3618,110,552,262,282,266,2,10,4,17,5,769,518,223,613,203,9553,3977,4095,1398,83,59,2,11,2,0,8,6,1726,3107,1237,394,28,^,^,^,^,^,^,^,^,^,^,~,~,0.92,85.6,68.62,78.05,82.62,71.88,72.16,88.36,2.7,14.36,78.46
A1037,"RGV ACO Health Providers, LLC",TX,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,1,0,1,10354,0.1032,0.02,12728308,12728308,"",9456735,1,1,99.06,0,0,1,12252,12948,123338920,110610612,0,0,0.75,0.74,0,"Low Revenue",73914,8441,12235,9039,73530,10450,12833,9195,81538,10636,13493,9647,79637,8384,12195,8599,10988,1.036,1.1,0.993,1.109,1.042,1.132,1.048,1.096,1.071,1.188,1.114,1.123,1.054,1.217,1.187,1.244,244,1107,2530,6620,10067,235,906,2099,6828,1084,4086,3564,1620,6075,4279,8542,127,41,1424,7,213,3043,2397,134,518,20,503,640,2103,3848,166,699,295,290,255,6,27,2,12,2,798,537,207,521,175,13228,7593,4146,1414,75,47,0,0,0,0,0,0,48,1,41,24,0,^,^,^,^,^,^,^,^,^,^,~,~,0.58,96.54,92.06,95,87.35,80.03,77.5,94.39,34.86,9.73,90.91
A1041,"West Florida ACO, LLC",FL,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,17553,0.0977,0.02,20288220,20288220,"",14740660,1,1,96.88,0,0,1,12134,12640,207757014,187468794,"","",0.75,0.73,0,"Low Revenue",88108,10955,20602,10316,75479,11376,18595,10403,86263,11391,18804,10764,75310,9552,17344,10012,10949,1.061,1.182,1.224,1.197,1.052,1.122,1.17,1.191,1.063,1.117,1.149,1.219,1.09,1.099,1.157,1.243,165,1822,996,16122,17121,161,1332,838,14790,1783,7600,5750,2420,9918,7635,15753,740,266,169,12,613,3026,2594,110,341,31,233,619,1415,4858,87,647,323,304,280,3,16,5,14,6,814,525,240,697,254,12300,5576,5630,1069,25,50,0,0,0,0,0,0,149,5,65,39,0,^,^,^,^,^,^,^,^,^,^,~,~,0.8,91.58,87.11,89.47,85.22,77.25,75.45,88.51,9.8,11.66,80.69
A1051,"Coastal Carolina Quality Care, Inc.",NC,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,1,0,0,11427,0.0928,0.01,10701474,10701474,"",7975943,1,1,99.38,0,0,1,10308,10572,115346341,104644867,0,0,0.75,0.75,0,"Low Revenue",69499,10238,12828,8988,71912,9134,12868,8903,72079,10279,14924,9416,70026,9627,16595,8981,9352,1.008,1.164,1.14,1.087,1.036,1.034,1.056,1.042,1.037,1.159,1.171,1.188,1.046,1.181,1.23,1.208,43,819,451,10101,11190,19,691,334,10146,732,5503,3803,1389,6427,5000,9817,1321,38,14,5,232,2615,2398,33,181,15,275,380,1974,3699,67,289,226,225,213,1,10,1,12,3,818,427,170,723,221,11799,5287,3966,2530,17,31,0,0,0,0,0,0,34,59,25,31,0,^,^,^,^,^,^,^,^,^,^,~,~,0.86,94.9,91.5,100,89.6,91.96,91.92,92.31,25.32,5.07,89.49
