Month End,Year Week,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,Number of Individuals
30/04/2016,201614,Awdal,Borama,Awdal,Borama,Drought related,Food,6
30/04/2016,201617,Awdal,Borama,Awdal,Borama,Drought related,Livelihood Support,7
30/04/2016,201616,Awdal,Borama,Awdal,Borama,Flood,Food,5
30/04/2016,201614,Awdal,Borama,Awdal,Lughaye,Drought related,Food,8
31/03/2016,201611,Awdal,Borama,Awdal,Lughaye,Drought related,Food,9
31/03/2016,201612,Awdal,Borama,Awdal,Lughaye,Drought related,Food,23
31/03/2016,201613,Awdal,Borama,Awdal,Lughaye,Drought related,Food,7
30/04/2016,201615,Awdal,Borama,Awdal,Lughaye,Drought related,Livelihood Support,7
31/05/2016,201618,Awdal,Borama,Awdal,Lughaye,Drought related,Shelter,6
30/04/2016,201613,Awdal,Borama,Awdal,Zeylac,Drought related,Food,5
30/04/2016,201616,Awdal,Borama,Awdal,Zeylac,Drought related,Food,7
31/05/2016,201618,Awdal,Borama,Awdal,Zeylac,Drought related,Livelihood Support,5
30/04/2016,201613,Awdal,Borama,Awdal,Zeylac,Drought related,Water,8
31/01/2016,201601,Awdal,Borama,Bakool,Tayeeglow,Drought related,Livelihood Support,7
31/08/2016,201631,Awdal,Borama,Bakool,Xudur,Drought related,Livelihood Support,7
29/02/2016,201606,Awdal,Borama,Banadir,Banadir,Drought related,Food,6
30/06/2016,201624,Awdal,Borama,Banadir,Banadir,Drought related,Food,8
31/10/2016,201639,Awdal,Borama,Banadir,Banadir,Drought related,Food,5
31/10/2016,201640,Awdal,Borama,Banadir,Banadir,Drought related,Food,4
31/05/2016,201619,Awdal,Borama,Banadir,Banadir,Drought related,Health,7
30/04/2016,201615,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,19
30/04/2016,201617,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,5
31/08/2016,201631,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,13
31/08/2016,201633,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,9
31/08/2016,201634,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
31/12/2016,201649,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,5
31/12/2016,201650,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
31/12/2016,201651,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,5
31/12/2016,201652,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
29/02/2016,201605,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,4
29/02/2016,201606,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
29/02/2016,201607,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,18
29/02/2016,201608,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
31/01/2016,201601,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
31/01/2016,201602,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,8
31/01/2016,201604,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,11
31/07/2016,201627,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,13
31/07/2016,201628,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,15
31/07/2016,201629,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
31/07/2016,201630,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,19
30/06/2016,201622,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,15
30/06/2016,201623,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,15
30/06/2016,201624,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,11
30/06/2016,201625,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
31/03/2016,201609,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
31/03/2016,201611,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,4
31/03/2016,201613,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
31/05/2016,201617,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,4
31/05/2016,201618,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
