Location,Sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
Chelsea,Commercial & Industrial,2017,"1,000,070","895,737","1,033,188","655,966","504,521","379,688","320,987","348,145","342,299","450,506","732,057","1,046,855","7,710,020"
West Springfield,Residential,2016,"1,001,927","922,822","680,981","481,369","242,352","137,111","120,771","115,861","142,780","528,162","1,271,325","1,968,977","7,614,439"
Harwich,Total,2013,"1,002,826","946,091","780,486","501,764","311,611","220,656","199,072","196,173","197,644","330,197","667,754","997,160","6,351,436"
Weston,Residential,2017,"1,003,330","835,067","840,487","508,196","294,608","183,613","136,922","147,613","154,831","305,038","591,404","1,129,791","6,130,901"
Shrewsbury,Commercial & Industrial,2019,"1,003,694","867,168","798,531","519,649","339,710","225,549","203,106","240,462","260,640","376,226","726,519","882,120","6,443,374"
Dartmouth,Residential,2019,"1,003,721","782,620","723,328","382,475","253,353","129,299","103,476","100,700","119,661","247,975","510,759","749,580","5,106,948"
Sharon,Residential,2014,"1,004,818","936,024","835,816","427,850","207,622","120,141","99,278","99,960","125,721","276,449","554,398","807,930","5,496,007"
Ludlow,Total,2015,"1,005,153","940,980","669,168","138,985","159,480","104,639","98,044","97,711","110,627","211,575","344,747","627,406","4,508,515"
Swansea,Total,2018,"1,006,335","732,518","813,454","593,640","255,046","137,231","103,613","101,758","104,976","279,474","562,343","802,840","5,493,226"
Braintree,Residential,2017,"1,006,613","885,954","814,825","518,474","265,474","157,230","117,096","117,200","130,790","269,898","606,997","1,104,380","5,994,930"
Wilmington,Commercial & Industrial,2013,"1,006,713","883,774","773,039","579,136","388,169","296,592","285,253","282,049","283,935","449,298","681,721","1,004,335","6,914,014"
West Springfield,Residential,2013,"1,007,200","908,244","760,323","463,705","216,366","145,826","119,472","119,505","140,941","324,302","672,964","1,023,649","5,902,497"
Beverly,Residential,2013,"1,007,321","876,463","814,224","481,993","259,072","158,936","132,128","132,275","155,409","358,342","723,946","1,200,164","6,300,271"
Foxborough,Commercial & Industrial,2016,"1,007,427","730,760","615,963","468,970","267,689","178,478","146,559","151,369","182,096","393,113","936,246","1,328,523","6,407,193"
Watertown,Commercial & Industrial,2016,"1,007,539","959,478","754,035","568,029","372,217","214,277","203,778","209,672","241,589","394,754","683,314","974,471","6,583,154"
North Adams,Total,2013,"1,007,813","875,619","817,411","488,827","242,265","143,712","112,372","121,270","176,414","360,065","507,826","931,717","5,785,312"
Bourne,Residential,2018,"1,008,000","723,549","776,131","518,832","258,484","152,013","122,697","116,102","121,079","290,669","636,470","842,828","5,566,853"
Fairhaven,Total,2017,"1,008,855","870,502","985,849","484,291","302,413","180,182","155,734","156,041","163,200","215,912","594,912","1,128,309","6,246,200"
Rockport,Residential,2013,"1,009",921,857,"1,267","1,509","1,319","1,291","1,235","1,211","1,074","1,165","1,598","14,457"
Walpole,Residential,2019,"1,010,732","846,229","738,119","396,469","242,040","127,629","96,739","98,129","118,224","272,839","647,946","816,720","5,411,817"
Newburyport,Residential,2019,"1,011,400","850,394","754,227","392,755","254,173","127,966","94,739","98,738","113,354","284,171","634,238","835,343","5,451,499"
North Andover,Commercial & Industrial,2014,"1,011,691","357,540","107,383","489,188","276,662","133,704","121,469","132,497","164,770","288,885","617,229","815,049","4,516,066"
Clinton,Total,2018,"1,011,819","679,974","688,423","511,893","248,613","178,303","151,335","168,937","176,751","355,855","591,920","754,327","5,518,150"
Sharon,Residential,2019,"1,012,424","855,500","742,139","399,624","242,598","124,942","91,110","90,908","111,810","278,864","650,439","813,304","5,413,662"
Norton,Commercial & Industrial,2018,"1,012,703","504,219","524,861","382,023","212,894","156,503","192,197","154,538","148,886","272,958","436,750","583,422","4,581,955"
Canton,Commercial & Industrial,2013,"1,013,140","892,742","812,380","473,458","268,246","202,302","197,786","198,513","205,370","352,534","643,966","1,001,592","6,262,029"
Winthrop,Residential,2015,"1,013,386","986,403","799,018","422,065","196,468","124,646","105,997","99,763","120,038","234,156","400,791","539,594","5,042,325"
Methuen,Commercial & Industrial,2019,"1,014,062","889,173","769,727","440,971","275,561","176,596","154,047","155,466","180,515","313,109","577,743","732,477","5,679,446"
Longmeadow,Residential,2013,"1,014,619","960,066","745,919","436,080","203,164","137,350","106,009","113,902","140,636","288,194","698,765","1,040,380","5,885,085"
Shrewsbury,Commercial & Industrial,2018,"1,015,235","715,465","773,519","557,525","288,562","209,705","192,152","201,158","221,115","438,995","702,913","881,716","6,198,060"
Easthampton,Total,2017,"1,017,610","649,321","608,391","387,877","449,242","258,208","191,829","206,440","194,312","321,871","534,102","827,452","5,646,657"
Milford,Commercial & Industrial,2019,"1,018,779","801,294","759,497","461,395","316,893","230,637","198,431","215,783","215,224","330,357","644,191","826,894","6,019,375"
Melrose,Residential,2016,"1,019,440","988,372","826,956","549,777","274,033","145,517","119,592","114,262","150,575","334,018","667,995","1,021,071","6,211,609"
Marblehead,Residential,2013,"1,019,501","977,273","789,923","484,589","241,964","146,715","120,408","129,212","152,679","296,759","714,918","1,086,884","6,160,825"
Concord,Residential,2018,"1,020,167","671,052","665,573","438,157","163,122","111,385","81,523","85,308","122,375","318,279","595,517","830,846","5,103,305"
Westborough,Residential,2017,"1,020,488","542,731","481,037","295,623","164,622","96,427","70,869","72,716","82,781","158,940","372,846","630,317","3,989,396"
Sandwich,Total,2014,"1,020,646","934,728","836,981","521,775","288,615","178,340","160,849","159,024","174,665","281,722","537,499","877,152","5,971,995"
Wellesley,Commercial & Industrial,2016,"1,023,591","1,021,554","852,824","692,459","531,695","448,790","486,912","489,226","499,471","633,777","763,805","997,221","8,441,325"
Mansfield,Residential,2017,"1,023,658","620,906","641,688","372,056","205,643","132,596","103,993","107,296","108,659","201,671","446,053","865,159","4,829,378"
Shrewsbury,Residential,2016,"1,024,237","1,141,798","815,246","583,297","320,991","164,819","135,286","129,534","160,858","375,825","688,017","1,197,768","6,737,675"
Melrose,Residential,2013,"1,024,458","873,202","771,418","488,346","222,702","140,479","117,692","118,089","142,478","324,330","710,767","1,137,173","6,071,134"
West Springfield,Commercial & Industrial,2015,"1,024,603","973,154","809,483","430,031","213,824","146,861","140,627","142,754","151,956","252,030","442,466","960,291","5,688,081"
Somerset,Total,2015,"1,024,671","1,165,680","1,319,078","905,824","456,105","218,401","165,688","151,587","131,330","173,132","368,956","940,706","7,021,157"
Canton,Residential,2014,"1,025,598","938,701","834,039","459,834","218,336","129,300","112,442","111,412","131,581","287,566","558,204","832,100","5,639,113"
Harwich,Residential,2018,"1,026,350","728,860","715,202","504,747","240,419","161,987","145,194","132,865","139,881","284,207","561,277","821,584","5,462,573"
Westford,Residential,2016,"1,027,042","923,265","703,295","511,779","281,300","151,134","129,925","124,082","156,561","338,113","677,325","992,999","6,016,819"
Natick,Total,2013,"1,027,168","1,554,652","1,804,400","1,502,714","742,434","418,592","298,604","255,794","260,990","339,759","667,539","2,447,998","11,320,645"
Grafton,Commercial & Industrial,2017,"1,027,376","1,054,508","1,115,334","157,378","669,138","645,704","596,135","637,357","601,973","710,666","812,781","1,031,758","9,060,106"
Wellesley,Commercial & Industrial,2017,"1,027,700","965,717","1,061,272","664,002","551,785","452,340","450,234","459,808","468,668","528,582","797,752","1,163,080","8,590,942"
Grafton,Commercial & Industrial,2019,"1,027,901","862,239","988,452","717,423","641,728","616,802","416,381","286,638","291,479","571,720","919,124","857,090","8,196,978"
Seekonk,Total,2017,"1,028,326","658,785","606,431","386,340","192,635","114,785","98,000","97,937","102,087","199,238","442,958","849,863","4,777,385"
Everett,Commercial & Industrial,2017,"1,029,245","999,942","803,592","484,372","405,749","249,578","194,314","272,426","318,150","395,208","746,184","1,044,208","6,942,970"
Lexington,Residential,2013,"1,029,375","971,901","786,741","485,914","228,751","146,726","103,708","111,765","148,595","335,555","750,542","1,133,865","6,233,438"
Chatham,Total,2018,"1,029,879","730,978","737,976","533,679","267,570","210,517","199,867","182,349","182,068","302,303","544,698","828,252","5,750,137"
Sharon,Residential,2017,"1,030,090","737,920","805,824","384,856","236,633","135,202","100,826","102,104","110,663","184,607","543,443","1,054,345","5,426,512"
Westwood,Total,2018,"1,030,884","713,391","726,758","480,757","247,730","150,473","120,481","120,557","136,114","341,438","645,804","840,009","5,554,394"
Rockport,Residential,2016,"1,033","1,281","1,061","1,789","1,684","1,456","1,483","1,375","1,315","1,741","1,336","1,345","16,900"
Wareham,Total,2013,"1,034,039","970,201","903,682","577,344","351,031","258,116","268,732","275,409","313,161","452,668","794,495","1,138,674","7,337,550"
Clinton,Total,2015,"1,034,472","907,663","788,144","428,170","221,184","183,652","138,780","171,400","192,025","321,806","412,847","532,604","5,332,746"
Walpole,Residential,2015,"1,034,873","1,028,793","258,674","263,825","189,955","118,671","100,534","95,309","120,310","256,671","443,941","583,554","4,495,110"
Attleboro,Residential,2019,"1,036,778","939,996","812,410","444,339","242,287","128,412","103,899","100,854","131,313","299,983","637,079","844,232","5,721,583"
Braintree,Commercial & Industrial,2017,"1,036,984","899,847","825,107","535,432","299,125","198,644","154,546","274,112","310,187","624,500","614,143","1,094,476","6,867,103"
Marblehead,Residential,2017,"1,037,108","994,883","964,493","540,685","314,154","195,328","139,396","136,901","149,022","268,862","645,028","1,148,801","6,534,661"
Concord,Residential,2015,"1,037,421","974,143","751,500","371,464","166,999","114,768","88,192","82,999","117,413","262,809","404,818","600,574","4,973,100"
Hingham,Residential,2018,"1,037,810","653,375","728,249","448,173","175,067","118,605","86,127","87,305","118,593","312,203","570,214","781,411","5,117,131"
Westborough,Commercial & Industrial,2019,"1,038,121","918,798","840,312","488,276","315,504","173,834","138,387","143,941","186,994","366,808","694,401","940,730","6,246,106"
Swansea,Total,2017,"1,038,778","747,793","867,939","467,565","267,132","149,437","116,570","112,337","111,578","160,239","463,115","935,852","5,438,335"
Winchester,Residential,2017,"1,038,915","973,877","873,507","517,413","281,803","161,007","110,211","110,539","131,378","271,844","653,436","1,140,072","6,264,002"
Natick,Commercial & Industrial,2014,"1,038,998","947,188","865,426","457,792","278,789","209,596","226,654","175,452","198,273","309,686","581,840","677,309","5,967,002"
Dartmouth,Commercial & Industrial,2016,"1,040,689","894,876","740,325","555,003","349,012","342,094","310,989","323,398","343,378","376,191","616,085","966,011","6,858,051"
Reading,Total,2014,"1,041,053","933,751","868,115","464,426","242,065","152,214","132,208","131,125","155,977","290,182","602,679","928,923","5,942,718"
Sharon,Total,2016,"1,041,799","1,008,490","758,927","520,058","271,299","155,592","115,704","109,773","136,006","567,635","1,160,889","1,871,627","7,717,799"
Northborough,Total,2016,"1,042,249","879,425","675,186","501,624","316,646","218,107","168,326","208,636","224,218","376,826","611,747","1,106,722","6,329,711"
Plymouth,Commercial & Industrial,2014,"1,044,854","993,267","960,867","596,692","409,575","309,279","293,545","294,968","295,842","427,184","655,132","845,749","7,126,953"
Beverly,Residential,2016,"1,046,746","1,030,495","873,176","589,125","308,521","170,506","136,677","138,982","164,856","358,296","660,598","1,062,503","6,540,480"
Chelsea,Commercial & Industrial,2016,"1,047,189","914,888","817,379","651,901","464,301","345,913","316,040","321,288","323,982","483,935","676,640","991,787","7,355,242"
Revere,Commercial & Industrial,2018,"1,047,646","787,431","787,326","614,441","387,557","287,302","240,697","181,441","159,576","314,707","542,771","685,369","6,036,265"
Watertown,Commercial & Industrial,2017,"1,048,556","955,851","896,167","615,526","391,771","260,821","202,659","208,068","221,515","350,928","696,956","1,111,892","6,960,711"
Tewksbury,Residential,2013,"1,048,835","993,844","853,720","474,256","242,796","162,141","129,921","135,224","155,160","333,373","751,313","1,227,267","6,507,851"
Natick,Commercial & Industrial,2019,"1,049,156","927,119","786,804","492,621","336,172","215,719","175,794","206,561","237,289","383,488","686,040","870,921","6,367,685"
Northampton,Residential,2019,"1,050,579","962,062","809,984","428,836","233,778","125,029","98,766","97,780","137,848","332,198","646,033","858,737","5,781,632"
Norwood,Residential,2017,"1,050,981","888,132","889,193","525,437","273,049","162,369","126,599","127,801","133,680","289,769","602,327","1,206,993","6,276,329"
Gardner,Total,2016,"1,051,068","645,614","560,814","403,895","282,546","176,255","141,680","160,896","159,461","268,786","464,345","478,439","4,793,799"
Dartmouth,Commercial & Industrial,2017,"1,051,412","880,227","868,128","360,745","343,932","355,463","330,502","298,648","351,573","417,825","618,411","1,019,929","6,896,794"
Amesbury,Total,2014,"1,052,531","894,335","887,941","438,235","233,767","137,055","111,675","120,607","142,966","257,399","571,966","795,209","5,643,686"
Winchester,Residential,2016,"1,053,203","950,077","709,904","517,843","282,857","123,983","102,816","98,852","133,187","320,779","650,398","1,011,679","5,955,578"
Wayland,Total,2018,"1,053,458","718,177","696,454","499,049","211,169","121,694","94,281","92,404","129,284","325,308","673,942","871,797","5,487,015"
Needham,Residential,2016,"1,054,180","1,077,091","786,021","575,203","309,089","159,884","127,817","121,771","148,918","364,868","676,916","1,132,059","6,533,818"
Dartmouth,Commercial & Industrial,2019,"1,054,307","922,461","898,708","566,981","366,747","361,144","363,739","385,523","344,370","455,690","652,166","935,386","7,307,221"
Westford,Residential,2017,"1,054,323","914,604","816,626","519,050","298,802","179,786","136,344","140,197","157,810","308,087","658,365","1,119,672","6,303,665"
Natick,Commercial & Industrial,2018,"1,054,802","752,598","801,810","558,058","313,364","212,924","203,129","226,173","251,589","457,583","720,451","909,971","6,462,453"
Agawam,Residential,2014,"1,054,947","1,012,141","849,847","454,251","231,276","134,339","119,896","119,030","140,315","282,196","601,420","917,136","5,916,794"
