gender,age,grade,q1a,q1b,q2a,q2b,q3a,q1,q2,q3,q4
Boy,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
NA,9,4,Sometimes,Sometimes,Most or all of the time,NA,Most or all of the time,Maintained,NA,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
NA,10,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Decreased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,9,4,Sometimes,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Decreased
NA,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
NA,9,4,Sometimes,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Increased
Boy,9,4,A little or none of the time,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
NA,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,9,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Decreased
NA,11,4,A little or none of the time,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Increased,Maintained,Increased,Increased
Boy,9,4,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
NA,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,10,4,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Maintained,Maintained
Boy,18,12,Sometimes,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Maintained,Decreased,Maintained,Decreased
